id;name;city_id;unit_class_kind;unit_type_produce_id;size;technology_level;employee_count;employee_salary;employee_level;equipment_count;equipment_quality;equipment_wear;district_id;fertility;quality;extract_cost;on_holiday;artefact_energy;artefact_wear;artefact_feeder
7138840;Agricultural Farm;0;farm;0;10;40;1000;1034.17;19.13;200;53.07;0.12;0;0;0;0;0;0;0;0;
7138892;Juny-2017;0;orchard;0;174;40;17400;1265.41;19.13;3480;60.27;0.00;0;0;0;0;0;0;0;0;
7138982;Diamond quarry;0;mine;0;10;38;0;535.48;1e-06;20000;48.75;0.00;0;0;0;0;0;0;0;0;
7138983;Bauxite quarry;0;mine;0;10;39;5000;2479.06;18.75;10000;48.95;0.00;0;0;0;0;0;0;0;0;
7138989;Titanium mine;0;mine;0;10;31;3500;549.31;15.6;7000;39.17;0.00;0;0;0;0;0;0;0;0;
7138990;Polymetallic ore mine;0;mine;0;10;40;5000;2968.18;19.13;10000;49.18;0.00;0;0;0;0;0;0;0;0;
7138997;Bauxite quarry;0;mine;0;5;39;0;562.71;1e-06;2000;21.71;0.00;0;0;0;0;0;0;0;0;
7143057;0;0;villa;0;1;0;0;140.10;1e-06;1;107.11;0.00;0;0;0;0;0;0;0;0;
7143766;Office ;0;office;0;1000;0;10000;2562.33849559328;15.3;10000;59.8112707632386;0.00;0;0;0;0;0;0;0;0;
7143792;Office ;0;office;0;1000;0;10000;789.654895246475;15.31;10000;59.8816799024957;0.00;0;0;0;0;0;0;0;0;
7143793;Outerwear factory;0;workshop;0;100;39;10000;569.68;18.75;10000;51.46;0.00;0;0;0;0;0;1;1;0;
7143931;Fishing base;0;fishingbase;0;55;39;2750;1653.86;18.75;275;53.92;0.12;0;0;0;0;0;0;0;0;
7145999;0;0;fishingbase;0;20;39;1000;259.88;18.75;100;55.32;0.00;0;0;0;0;0;0;0;0;
7148814;Лесопилка;0;sawmill;0;2;39;20;697.53;18.75;50;49.31;1.70;0;0;0;0;0;0;0;0;
7149719;Office ;0;office;0;1000;0;10000;4262.23039522404;15.22;10000;59.3246282440389;0.00;0;0;0;0;0;0;0;0;
7151075;Sports equipment production;0;workshop;0;100;39;5000;503.76;18.75;10000;47.1;0.00;0;0;0;0;0;1;1;0;
7153399;Pearls studio;0;workshop;0;100;37;5000;449.15;17.98;5000;45.39;0.00;0;0;0;0;0;1;1;0;
7157635;Office ;0;office;0;1000;0;10000;5463.49737563614;15.22;10000;59.3445764008488;0.00;0;0;0;0;0;0;0;0;
7157636;Store;0;shop;0;1000;0;5000;3147.45090364052;8;0;0;0.00;2010;0;0;0;0;0;0;0;
7161152;Gold mine;0;mine;0;15;39;7500;4699.05;18.75;15000;44.44;0.00;0;0;0;0;0;0;0;0;
7161155;Diamond quarry;0;mine;0;10;38;3500;4109.30;18.36;14000;36.96;0.00;0;0;0;0;0;0;0;0;
7161157;Copper Mine;0;mine;0;10;40;5000;3567.30;19.13;10000;51.1;0.00;0;0;0;0;0;0;0;0;
7161172;Iron ore mine;0;mine;0;10;40;5000;1783.59;19.13;10000;46.82;0.00;0;0;0;0;0;0;0;0;
7161195;Coal mine;0;mine;0;5;38;2500;2949.61;18.36;5000;47.98;0.00;0;0;0;0;0;0;0;0;
7161204;Titanium mine;0;mine;0;10;31;1000;2424.79;15.6;2000;15.28;0.00;0;0;0;0;0;0;0;0;
7161438;Office ;0;office;0;1000;0;10000;2218.94509191186;15.32;10000;59.9630394740774;0.00;0;0;0;0;0;0;0;0;
7161440;Copper Mill;0;workshop;0;100;39;15000;2060.56;18.75;60000;48.19;0.00;0;0;0;0;0;1;1;0;
7161457;Office ;0;office;0;1000;0;10000;6054.52550964832;17;10000;55.8703265584288;0.00;0;0;0;0;0;0;0;0;
7161462;Office ;0;office;0;1000;0;10000;1029.0215851142;15.3;10000;59.830082214786;0.00;0;0;0;0;0;0;0;0;
7161463;Gold mine;0;mine;0;10;39;3000;1392.82;18.75;6000;33.33;0.00;0;0;0;0;0;0;0;0;
7161476;Office ;0;office;0;1000;0;10000;7393.45255937418;15.26;10000;59.5747106394722;0.00;0;0;0;0;0;0;0;0;
7161542;Store;0;shop;0;1000;0;4000;7256.41885498815;9.19;0;0;0.00;2010;0;0;0;0;0;0;0;
7161887;Locus-Oil;0;workshop;0;100;39;10000;425.00;18.75;20000;49.55;0.00;0;0;0;0;0;1;1;0;
7162229;Office;0;office;0;1000;0;10000;2365.90467504352;15.31;10000;59.8558319177034;0.00;0;0;0;0;0;0;0;0;
7164149;Office ;0;office;0;1000;0;10000;5165.62464981158;15.21;10000;59.3165133453646;0.00;0;0;0;0;0;0;0;0;
7164150;Office ;0;office;0;1000;0;10000;7158.77687813533;15.25;10000;59.5462941312609;0.00;0;0;0;0;0;0;0;0;
7164151;Office ;0;office;0;1000;0;10000;8952.38610577515;15.25;10000;59.5463662150482;0.00;0;0;0;0;0;0;0;0;
7164152;Office ;0;office;0;1000;0;10000;3949.95754858167;15.25;10000;59.5411774255792;0.00;0;0;0;0;0;0;0;0;
7164587;Leather small wares factory;0;workshop;0;100;38;10000;1203.92;18.36;10000;48.36;0.00;0;0;0;0;0;1;1;0;
7165637;Bauxite quarry ;0;mine;0;10;39;5000;713.40;18.75;10000;46.91;0.00;0;0;0;0;0;0;0;0;
7165786;Machine-tool factory;0;workshop;0;100;39;30000;1992.22;18.75;60000;46.68;0.00;0;0;0;0;0;1;1;0;
7165787;Office ;0;office;0;1000;0;10000;940.820058362877;15.31;10000;59.8484412573155;0.00;0;0;0;0;0;0;0;0;
7166070;Electronic components factory;0;workshop;0;100;39;10000;3485.90;18.75;20000;48.79;0.00;0;0;0;0;0;1;1;0;
7166675;Mineral processing plant;0;workshop;0;100;40;10000;853.57;19.13;40000;52.58;0.00;0;0;0;0;0;1;1;0;
7166771;Metallurgical factory;0;workshop;0;50;39;5100;458.81;18.75;20400;47.52;0.00;0;0;0;0;0;1;1;0;
7166834;Auto repair shop;0;repair;0;100;0;500;17824.37;25;500;50.2740914203741;0.10;2009;0;0;0;0;0;0;0;
7166847;Office ;0;office;0;1000;0;10000;850.48472491357;15.25;10000;59.5441920890417;0.00;0;0;0;0;0;0;0;0;
7166849;Car parts factory;0;workshop;0;300;39;30000;420.66;18.75;60000;51.3;0.00;0;0;0;0;0;1;1;0;
