id;name;city_id;unit_class_kind;unit_type_produce_id;size;technology_level;employee_count;employee_salary;employee_level;equipment_count;equipment_quality;district_id;fertility;quality;extract_cost;on_holiday
7251285;Machine-tool factory;3031;workshop;2793;81;16;5700;1556.10;10.08;11400;32.55;0;0;0;0;t
7765338;SkellFood;424204;shop;3086;10;1;100;628;5.08;0;0;2009;0;0;0;f
7876942;BG-Sweden;424204;office;3072;1;1;10;997.041445179468;12.77;10;45.5883036444181;0;0;0;0;f
7876946;SwedeLab;424204;lab;2211;30;0;250;2655.15;11.42;2500;38.56;0;0;0;0;f
7876983;BG-Press;2947;office;3072;1;1;10;2419.54170173726;12.8;10;45.7835702355152;0;0;0;0;f
7876984;Sawmill;2947;sawmill;2075;25;17;250;930.73;10.03;625;31.76;0;0;1;0;f
7883617;BGP-PPM;2948;workshop;2760;4;13;400;146.32;9.46;800;29.05;0;0;0;0;f
7886119;Offset Printing;2948;workshop;2890;15;16;750;147.86;9.66;750;30.02;0;0;0;0;f
7908089;Villa;424204;villa;103;2;1;0;479.60;1e-06;0;73.66;0;0;0;0;f
7910520;Warehouse;2948;warehouse;2018;10;1;0;37.51;1e-06;0;0;0;0;0;0;f
7933039;SkellGroce;424204;shop;3086;10;1;60;590;4.49;0;0;2008;0;0;0;f
22024;Bauxite quarry ;2934;mine;1871;1;13;40;465.77;11.08;80;36.84;0;0;1;3;t
7934061;BG-LabEquip;331868;office;3072;1;1;3;568.723462349364;12.77;10;45.6158788626368;0;0;0;0;f
7984471;Metallurgical factory;2934;workshop;2799;2;13;100;488.71;10.56;400;34.29;0;0;0;0;f
7984472;Laboratory equipment factory;2934;workshop;2916;2;14;200;457.25;9.43;400;28.92;0;0;0;0;t
7984478;LabEquipLab;331868;lab;2211;20;1;200;1606.97;11.86;2000;40.83;0;0;0;0;f
8718800;Poultry farm ;2964;animalfarm;2850;100;15;0;589.97;1e-06;0;17.73;0;0;0;0;f
9119372;BG-Italy;424339;office;3072;3;1;30;1500;12.67;30;43.1350517294541;0;0;0;0;f
9119380;BG-Spain;17604;office;3072;1;1;10;1070.48173210017;12.71;10;45.3019996110792;0;0;0;0;f
9120235;BG-Iceland;423480;office;3072;1;1;4;1603.66328061182;12.82;10;45.850928085553;0;0;0;0;f
9124853;FoodLab;424338;lab;2211;30;1;250;3539.20;11.92;2600;41.12;0;0;0;0;f
9125097;Apiary;17604;animalfarm;423147;200;16;95;1218.74;11.57;1000;39.33;0;0;0;0;t
9133387;CataniaFood;424339;shop;3086;1000;1;6000;908;4.86;0;0;2009;0;0;0;f
9160714;BGF - Agro;424339;warehouse;2018;10;1;0;571.52;1e-06;0;0;0;0;0;0;f
9163281;Warehouse;17604;warehouse;2018;3;0;0;0.00;1e-06;0;0;0;0;0;0;f
9164264;Mill ;424339;mill;2865;200;16;2000;667.66;10.85;4000;35.71;0;0;0;0;t
9164996;Poultry farm ;424339;animalfarm;301348;60;17;800;1102.33;9.65;60000;16.69;0;0;0;0;f
9165828;Cowshed ;424339;animalfarm;301344;125;16;2500;898.35;9.19;12500;18.22;0;0;0;0;f
9165928;Climb Cat;424339;service_light;348220;450;1;850;1065.53;9.37;4500;28.6469589362549;2009;0;0;0;f
9174764;Meat processing plant;424339;workshop;2809;15;16;1500;681.11;10.47;1500;33.86;0;0;0;0;t
