product_id;avg_price;local_market_size;total_market;index_min
1497;15970.22;4114;65700580;6
1490;5109.07;11083;56623047;6
1489;2819.43;26916;75876204;1
1502;1276.20947322212;13668;17440368;4
423923;69.08;201944;13934136;3
1506;50.05;336818;16840900;3
1501;1725.36;38009;65565525;2
1498;5109.54;14624;74714016;6
1499;1362.78;43678;59489436;1
1494;4040.23;21844;88249760;-1
373201;138.99;100399;13855062;2
1496;6584.18;10419;68598696;6
1522;4064.72;9355;38018720;-1
423151;439.87;34359;15083601;1
424630;19214.2975437291;2687;51628018;5
422707;10023.93;25076;251336748;3
422703;3834.06730391479;28916;110863944;4
422704;196636.67;3470;682326920;-1
422705;6194544.87;99;613259856;6
1504;6896.78;13258;91427168;0
15743;692.05;16603;11489276;-1
15750;3427.30063112213;8065;27638755;5
1505;27157.26;2514;68272698;6
422434;38097.52;1898;72308106;6
423951;53602.9;1759;94285918;6
1500;20469.71;2788;57067572;6
1492;1495.22;7241;10825295;-1
423117;46257.17;1764;81597348;6
3865;3320.9;3993;13256760;-1
1491;455.66;20150;9168250;-1
