product_id;avg_price;local_market_size;total_market;index_min
1497;30644.339850587;937;28713428;5
1490;9389.03154387264;2701;25359689;5
1489;7961.48578769057;3542;28197862;5
1502;22075.48;3659;80772425;6
423923;16862.86;2745;46286190;6
1506;8342.8697752809;5340;44546280;5
1501;35666.0019277108;747;26642502;5
1498;6805.7305010661;8442;57447810;5
1499;11329.7911494704;2549;28877621;5
1494;9715.45632409382;2345;22781675;5
373201;9747.91294387171;2619;25527393;5
1496;7914.67599222953;3346;26480244;5
1522;21572.09;3043;65643596;6
423151;12637.44;6067;76668679;6
424630;11718.3806171108;2139;25064802;5
422707;18786.3772727273;11055;207679230;5
422703;11691.2307736244;19609;229248819;5
422704;68723.6873957048;4051;278396873;5
422705;1227882.33102564;390;478873980;5
1504;22063.12;2902;64026826;6
15743;28716.305464684;1614;46347624;5
15750;20956.796875;1264;26488384;5
1505;45658.95;1317;60131586;6
422434;53425.41;1201;64163425;6
423951;48026.8251975417;1139;54701614;5
1500;13384.0126075949;1975;26433400;5
1492;17531.5621345708;1724;30223444;5
423117;71473.29;978;69900594;6
3865;39146.41;1692;66235032;6
1491;6358.21201583435;6568;41759344;5
